DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
131014154,2013-08-25,2013-08-25,1100,10,West Valley,1045,626,INTIMATE PARTNER - SIMPLE ASSAULT,0417 2000 0448 0416 1813,32.0,M,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,MARTHA,ZELZAH,"(34.1731, -118.5219)"
100407865,2010-03-28,2010-03-28,1330,4,Hollenbeck,473,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0430 0906 1100 1240 1310,41.0,M,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,230.0,,,,6TH                          ST,SAINT LOUIS                  ST,"(34.0388, -118.2167)"
161308474,2016-03-19,2016-03-19,1610,13,Newton,1317,220,ATTEMPTED ROBBERY,1309 0416 0370 0420 1240 1310 0432 0355 0446 1313,42.0,M,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220.0,,,,1400 E  15TH                         ST,,"(34.026, -118.246)"
171304901,2017-01-16,2017-01-15,345,13,Newton,1361,753,DISCHARGE FIREARMS/SHOTS FIRED,1100 0432,32.0,F,H,501.0,SINGLE FAMILY DWELLING,106.0,UNKNOWN FIREARM,IC,Invest Cont,753.0,,,,300 W  45TH                         ST,,"(34.0029, -118.2783)"
160214471,2016-07-19,2016-06-01,1800,2,Rampart,245,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 1402,23.0,F,W,120.0,STORAGE SHED,,,AO,Adult Other,341.0,,,,2500 W  6TH                          ST,,"(34.0616, -118.2795)"
170908669,2017-04-03,2017-04-01,1700,9,Van Nuys,964,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,31.0,M,W,101.0,STREET,,,IC,Invest Cont,331.0,,,,4800    MURIETTA                     AV,,"(34.1576, -118.439)"
141017101,2014-11-05,2014-11-05,2230,10,West Valley,1003,210,ROBBERY,,33.0,M,H,102.0,SIDEWALK,204.0,FOLDING KNIFE,IC,Invest Cont,210.0,,,,RESEDA                       BL,CANTARA                      ST,"(34.2192, -118.5361)"
100516552,2010-09-01,2010-08-27,1600,5,Harbor,517,330,BURGLARY FROM VEHICLE,0344 1300 1605,42.0,M,H,104.0,DRIVEWAY,,,IC,Invest Cont,330.0,,,,1100    HYATT                        AV,,"(33.7851, -118.2541)"
171906749,2017-02-22,2017-02-21,830,19,Mission,1961,354,THEFT OF IDENTITY,1822 0929 0923,40.0,M,W,101.0,STREET,,,AA,Adult Arrest,354.0,,,,SEPULVEDA                    BL,PLUMMER                      ST,"(34.2428, -118.4675)"
112115357,2011-08-21,2011-08-20,2200,21,Topanga,2129,310,BURGLARY,0344,25.0,M,O,707.0,GARAGE/CARPORT,,,IC,Invest Cont,310.0,,,,20000    HEMMINGWAY                   ST,,"(34.214, -118.569)"
161520302,2016-10-23,2016-10-22,1900,15,N Hollywood,1583,330,BURGLARY FROM VEHICLE,0344 1300 1609,48.0,M,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,4100    RADFORD                      AV,,"(34.1457, -118.3923)"
170814412,2017-08-19,2017-08-19,1130,8,West LA,896,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0378 0325 1608 0601 0104,,X,X,402.0,MARKET,,,IC,Invest Cont,442.0,,,,9800    NATIONAL                     BL,,"(34.0314, -118.3998)"
140123956,2014-10-23,2014-10-23,1221,1,Central,124,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,43.0,M,W,725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,200 N  SPRING                       ST,,"(34.054, -118.2435)"
150625196,2015-11-30,2015-11-23,1,6,Hollywood,645,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,39.0,X,X,101.0,STREET,,,IC,Invest Cont,420.0,,,,FOUNTAIN                     AV,CITRUS                       ST,"(34.0944, -118.3398)"
171610676,2017-06-12,2017-06-11,2300,16,Foothill,1642,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,27.0,M,H,101.0,STREET,304.0,CLUB/BAT,IC,Invest Cont,230.0,,,,KEWEN,PIERCE,"(34.2594, -118.424)"
160710189,2016-05-22,2016-05-22,800,7,Wilshire,721,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,35.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745.0,,,,100 S  WETHERLY                     DR,,"(34.0753, -118.3887)"
162105918,2016-02-13,2016-02-13,1930,21,Topanga,2143,928,THREATENING PHONE CALLS/LETTERS,0443,,M,W,404.0,DEPARTMENT STORE,511.0,VERBAL THREAT,IC,Invest Cont,928.0,,,,6400    FALLBROOK                    AV,,"(34.1883, -118.6274)"
141904671,2014-01-14,2014-01-14,600,19,Mission,1918,510,VEHICLE - STOLEN,,13.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,13800    SAYRE                        ST,,"(34.3102, -118.4338)"
152109899,2015-05-09,2015-05-09,1135,21,Topanga,2114,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,28.0,M,B,104.0,DRIVEWAY,,,AO,Adult Other,420.0,,,,7800    GLADE                        AV,,"(34.2119, -118.6082)"
150205325,2015-01-27,2015-01-26,1040,2,Rampart,256,350,"THEFT, PERSON",0346 0344,39.0,F,H,101.0,STREET,,,IC,Invest Cont,350.0,,,,BURLINGTON                   AV,6TH                          ST,"(34.058, -118.2715)"
122109013,2012-04-15,2012-04-15,1700,21,Topanga,2161,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1813 2000,40.0,F,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,23800    CALIFA                       ST,,"(34.1779, -118.6445)"
111018721,2011-11-16,2011-11-15,2200,10,West Valley,1035,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,65.0,M,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,17900    VANOWEN                      ST,,"(34.1939, -118.523)"
141114913,2014-08-13,2014-08-12,2300,11,Northeast,1181,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,,M,O,402.0,MARKET,,,IC,Invest Cont,442.0,,,,1300 N  ALVARADO                     ST,,"(34.0791, -118.2626)"
100323620,2010-10-10,2010-10-10,315,3,Southwest,374,624,BATTERY - SIMPLE ASSAULT,0400 0416 0417,29.0,M,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,3900 S  VAN NESS                     AV,,"(34.0146, -118.3171)"
160712322,2016-07-11,2016-07-09,1200,7,Wilshire,765,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 0913 0360 0601,42.0,M,H,203.0,OTHER BUSINESS,,,AO,Adult Other,341.0,,,,1300 S  LA BREA                      AV,,"(34.0501, -118.3442)"
161018901,2016-11-23,2016-11-23,400,10,West Valley,1077,310,BURGLARY,0342 1309 1420 0321 1607,,M,O,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310.0,,,,17200    VENTURA                      BL,,"(34.1606, -118.5076)"
171106694,2017-02-27,2017-02-24,200,11,Northeast,1152,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,16.0,M,W,405.0,CLOTHING STORE,,,IC,Invest Cont,740.0,,,,4600    HOLLYWOOD                    BL,,"(34.0993, -118.2837)"
110312353,2011-04-27,2010-08-21,1200,3,Southwest,398,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060,0500 1217 1251,12.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812.0,,,,FIGUEROA                     ST,MARTIN LUTHER KING JR        BL,"(34.0106, -118.2827)"
140209590,2014-04-19,2014-04-19,745,2,Rampart,204,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,44.0,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,800    MALTMAN                      AV,,"(34.0833, -118.2814)"
150219124,2015-10-08,2015-10-07,900,2,Rampart,248,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,14.0,,,108.0,PARKING LOT,,,IC,Invest Cont,420.0,,,,1400 W  3RD                          ST,,"(34.0583, -118.2616)"
100506590,2010-02-21,2010-01-09,1100,5,Harbor,585,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,27.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,900 W  19TH                         ST,,"(33.727, -118.2968)"
101410584,2010-04-14,2010-04-14,120,14,Pacific,1406,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,19.0,F,A,707.0,GARAGE/CARPORT,,,IC,Invest Cont,745.0,,,,3600    MENTONE                      AV,,"(34.0243, -118.4084)"
110511178,2011-05-21,2011-05-21,2330,5,Harbor,541,330,BURGLARY FROM VEHICLE,0329 0344 0358 0377 1300 1607,52.0,M,W,707.0,GARAGE/CARPORT,,,AO,Adult Other,330.0,,,,1000    CAPITOL                      DR,,"(33.7576, -118.3009)"
140918078,2014-10-24,2014-10-24,1900,9,Van Nuys,901,946,OTHER MISCELLANEOUS CRIME,1501,,M,X,108.0,PARKING LOT,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,946.0,,,,7700    SEPULVEDA                    BL,,"(34.2103, -118.4662)"
160204812,2016-01-16,2016-01-16,1640,2,Rampart,261,220,ATTEMPTED ROBBERY,0906 0344 0311 0416 0417 0408,52.0,M,H,103.0,ALLEY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,220.0,998.0,,,PARK VIEW                    ST,7TH                          ST,"(34.0574, -118.2801)"
131907102,2013-02-22,2013-02-21,1400,19,Mission,1998,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,25.0,F,H,704.0,ELEMENTARY SCHOOL,,,IC,Invest Cont,440.0,,,,8100    CALHOUN                      AV,,"(34.2185, -118.4417)"
131121509,2013-12-16,2013-12-14,1630,11,Northeast,1105,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,,M,W,602.0,BANK,,,IC,Invest Cont,740.0,,,,2100    COLORADO                     BL,,"(34.1392, -118.2126)"
171815241,2017-07-18,2017-07-18,530,18,Southeast,1827,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0561 0913 2024,55.0,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,1700 E  CENTURY                      BL,,"(0, 0)"
131513538,2013-06-27,2013-06-27,505,15,N Hollywood,1599,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,53.0,M,W,108.0,PARKING LOT,,,IC,Invest Cont,420.0,,,,3600    FREDONIA                     DR,,"(34.1343, -118.3591)"
151923415,2015-12-16,2015-12-15,2130,19,Mission,1961,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0448 0408 0906,52.0,F,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,9500    ORION                        AV,,"(34.2428, -118.4719)"
151911975,2015-05-27,2015-05-26,2130,19,Mission,1964,510,VEHICLE - STOLEN,,14.0,,,101.0,STREET,,,AA,Adult Arrest,510.0,,,,9100    WILLIS                       AV,,"(34.2364, -118.4555)"
111019756,2011-12-07,2011-12-06,1930,10,West Valley,1018,510,VEHICLE - STOLEN,,10.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,16100    CANTLAY                      ST,,"(34.2022, -118.4837)"
160809339,2016-04-25,2016-04-24,2000,8,West LA,884,480,BIKE - STOLEN,0344,37.0,F,O,121.0,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,480.0,,,,2300    CAMDEN                       AV,,"(34.0398, -118.4349)"
120309400,2012-03-24,2012-03-24,1630,3,Southwest,321,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,49.0,F,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,341.0,,,,3500 S  LA CIENEGA                   BL,,"(34.0242, -118.3722)"
160704819,2016-01-19,2016-01-17,2000,7,Wilshire,727,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,33.0,F,W,104.0,DRIVEWAY,,,IC,Invest Cont,331.0,,,,100 S  MANSFIELD                    AV,,"(34.0736, -118.3408)"
151414574,2015-05-14,2015-04-15,600,14,Pacific,1494,946,OTHER MISCELLANEOUS CRIME,1501,,M,X,101.0,STREET,,,AA,Adult Arrest,946.0,,,,300    WORLD WAY,,"(33.944, -118.4073)"
141907001,2014-02-23,2014-02-22,2130,19,Mission,1987,210,ROBBERY,0344 0334 0416,45.0,M,H,101.0,STREET,114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,AA,Adult Arrest,210.0,,,,13700    ROSCOE                       BL,,"(34.2217, -118.4317)"
160218404,2016-10-06,2016-10-05,1700,2,Rampart,211,330,BURGLARY FROM VEHICLE,0344,22.0,M,H,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,600 N  ALEXANDRIA                   AV,,"(34.0813, -118.2981)"
120122990,2012-11-06,2012-10-30,2005,1,Central,156,761,BRANDISH WEAPON,0334 0319,46.0,M,B,501.0,SINGLE FAMILY DWELLING,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,761.0,,,,500    WALL                         ST,,"(34.0449, -118.2458)"
131908120,2013-03-11,2013-03-09,1740,19,Mission,1972,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,35.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,9000    BURNET                       AV,,"(34.2337, -118.4632)"
150706573,2015-02-28,2015-02-28,930,7,Wilshire,721,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,14.0,,,108.0,PARKING LOT,,,IC,Invest Cont,420.0,,,,8700    BEVERLY                      BL,,"(34.0764, -118.3786)"
161413290,2016-05-05,2016-04-28,1000,14,Pacific,1464,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",,51.0,M,W,504.0,OTHER RESIDENCE,,,IC,Invest Cont,654.0,,,,5600    CRESCENT PARK,,"(33.9703, -118.4273)"
140801017,2014-07-07,2014-07-06,1430,8,West LA,889,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1414,28.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,2000 S  SHENANDOAH                   ST,,"(34.0418, -118.3848)"
101609590,2010-04-26,2010-04-23,2200,16,Foothill,1618,310,BURGLARY,0321 1607,34.0,M,W,720.0,JUNIOR HIGH SCHOOL,,,IC,Invest Cont,310.0,,,,10900    MOUNT GLEASON                AV,,"(34.267, -118.3027)"
141118478,2014-10-20,2014-09-20,1000,11,Northeast,1171,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,45.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,1500    MICHELTORENA                 ST,,"(34.089, -118.2749)"
121810852,2012-05-12,2012-05-11,2115,18,Southeast,1822,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 1402 0309 1407 1310 0906,21.0,M,H,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,230.0,,,,103RD                        ST,MAIN                         ST,"(33.9429, -118.2739)"
120904717,2012-01-15,2012-01-15,1240,9,Van Nuys,964,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,,M,W,404.0,DEPARTMENT STORE,,,IC,Invest Cont,442.0,,,,14000    RIVERSIDE                    DR,,"(34.1576, -118.438)"
171106372,2017-02-21,2017-02-21,800,11,Northeast,1172,510,VEHICLE - STOLEN,,16.0,,,101.0,STREET,,,AO,Adult Other,510.0,,,,1700    EASTERLY                     TR,,"(34.089, -118.2674)"
161509757,2016-04-14,2016-04-13,100,15,N Hollywood,1505,310,BURGLARY,1602 0397 0344,43.0,M,H,707.0,GARAGE/CARPORT,,,IC,Invest Cont,310.0,,,,11400    SHERMAN                      WY,,"(34.2012, -118.379)"
151900530,2015-01-12,2015-01-09,1400,19,Mission,1905,649,DOCUMENT FORGERY / STOLEN FELONY,1822 1402,,M,O,403.0,DRUG STORE,,,IC,Invest Cont,649.0,998.0,,,13800    FOOTHILL                     BL,,"(34.3155, -118.4343)"
131100514,2013-01-06,2013-01-06,2110,11,Northeast,1147,649,DOCUMENT FORGERY / STOLEN FELONY,1402,,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,649.0,998.0,,,1900 N  SAN FERNANDO                 RD,,"(34.1003, -118.2355)"
111410934,2011-03-26,2011-03-02,1800,14,Pacific,1444,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,35.0,M,W,108.0,PARKING LOT,,,IC,Invest Cont,341.0,,,,3200    CARTER                       AV,,"(33.9878, -118.4461)"
170811259,2017-06-08,2017-06-07,1500,8,West LA,802,662,"BUNCO, GRAND THEFT",1202,71.0,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,662.0,,,,1100    EMBURY                       ST,,"(34.0489, -118.5235)"
142120414,2014-12-31,2014-12-26,1230,21,Topanga,2189,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0349,33.0,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,20600    DEFOREST                     ST,,"(34.1602, -118.5819)"
110518303,2011-10-07,2011-08-01,1200,5,Harbor,509,813,CHILD ANNOYING (17YRS & UNDER),0514 0913 1251 1259 1820,16.0,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,813.0,,,,1400 W  243RD                        ST,,"(33.8035, -118.3008)"
161421686,2016-08-18,2016-08-18,1,14,Pacific,1473,330,BURGLARY FROM VEHICLE,0344,43.0,F,W,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330.0,,,,7600 W  83RD                         ST,,"(33.9614, -118.43)"
111715773,2011-08-17,2011-08-17,630,17,Devonshire,1791,510,VEHICLE - STOLEN,,10.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,20700    CHASE                        ST,,"(34.2246, -118.5842)"
121200530,2012-02-04,2012-02-03,1920,12,77th Street,1283,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1407 1309 1100 0342 0334 0302 0430 1822 0906,30.0,M,B,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,230.0,,,,HAAS                         AV,CENTURY                      BL,"(33.9455, -118.316)"
160919255,2016-10-25,2016-10-24,1500,9,Van Nuys,981,310,BURGLARY,1607 1609 0344 0329 1420 0358,,X,X,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310.0,,,,4500 N  SEPULVEDA                    BL,,"(34.1517, -118.4672)"
161908999,2016-03-28,2016-03-25,1430,19,Mission,1985,624,BATTERY - SIMPLE ASSAULT,0509 0510,44.0,F,H,702.0,OFFICE BUILDING/OFFICE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,14400    CHASE                        ST,,"(34.2248, -118.4469)"
171716977,2017-09-06,2017-09-06,1200,17,Devonshire,1754,624,BATTERY - SIMPLE ASSAULT,0400 0444 0429 0602,25.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,18500    MAYALL                       ST,,"(34.2533, -118.5361)"
141200726,2014-06-09,2014-05-27,2000,12,77th Street,1265,649,DOCUMENT FORGERY / STOLEN FELONY,0344 0701 1900 0913,29.0,F,W,101.0,STREET,,,IC,Invest Cont,649.0,,,,8200 S  NEW HAMPSHIRE                AV,,"(33.9644, -118.2929)"
151709115,2015-04-18,2015-04-18,1130,17,Devonshire,1723,888,TRESPASSING,1501,52.0,M,W,708.0,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),,,IC,Invest Cont,888.0,,,,DEVONSHIRE,MASON,"(34.2573, -118.5798)"
160416882,2016-10-27,2016-10-24,1540,4,Hollenbeck,468,624,BATTERY - SIMPLE ASSAULT,1258 0554 0446,,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,300 S  LORENA                       ST,,"(34.0388, -118.1987)"
160407295,2016-03-17,2016-03-17,1950,4,Hollenbeck,456,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 0430 0906,31.0,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,230.0,,,,MOTT                         ST,WINTER                       ST,"(34.0491, -118.2016)"
101620344,2010-11-17,2010-11-13,1630,16,Foothill,1612,310,BURGLARY,0344 0358 1607,29.0,M,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,310.0,,,,13300    PAXTON                       ST,,"(34.2765, -118.4224)"
131300844,2013-09-09,2013-09-09,1000,13,Newton,1375,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0408 0416 1243 1242,23.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,5400    HOOPER                       AV,,"(33.9939, -118.2521)"
170104548,2017-01-09,2017-01-09,1000,1,Central,128,510,VEHICLE - STOLEN,,16.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,ALAMEDA,TRACTION,"(34.0469, -118.2381)"
101421422,2010-09-24,2010-09-22,1200,14,Pacific,1425,354,THEFT OF IDENTITY,1822,47.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,11300    ROSE                         AV,,"(34.0202, -118.4266)"
110620273,2011-08-13,2011-08-13,305,6,Hollywood,636,310,BURGLARY,0329 0344 1605,,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,310.0,,,,6700    HOLLYWOOD                    BL,,"(34.1016, -118.3361)"
121608292,2012-04-06,2012-04-06,1230,16,Foothill,1664,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 0344 0385,66.0,M,H,108.0,PARKING LOT,,,IC,Invest Cont,420.0,,,,9200    TUJUNGA                      AV,,"(34.2371, -118.3804)"
161711603,2016-06-09,2016-06-09,200,17,Devonshire,1753,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,29.0,F,O,108.0,PARKING LOT,,,IC,Invest Cont,745.0,,,,10200    MASON                        AV,,"(34.2555, -118.5798)"
171418383,2017-08-10,2017-08-10,2334,14,Pacific,1409,901,VIOLATION OF RESTRAINING ORDER,,34.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,IC,Invest Cont,901.0,,,,3600    WATSEKA                      AV,,"(34.0288, -118.3996)"
111700626,2011-03-09,2011-03-09,15,17,Devonshire,1752,624,BATTERY - SIMPLE ASSAULT,0444 1814,45.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,10000    DE SOTO                      AV,,"(34.2518, -118.5886)"
111121675,2011-12-01,2011-12-01,1210,11,Northeast,1152,946,OTHER MISCELLANEOUS CRIME,0400,40.0,M,W,101.0,STREET,,,IC,Invest Cont,946.0,,,,LYMAN                        PL,PROSPECT                     DR,"(34.1018, -118.2885)"
131508619,2013-03-30,2013-03-30,1225,15,N Hollywood,1581,330,BURGLARY FROM VEHICLE,1302 0344,12.0,M,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,12900    WOODBRIDGE                   ST,,"(34.1482, -118.4138)"
101604616,2010-01-13,2010-01-12,2100,16,Foothill,1668,330,BURGLARY FROM VEHICLE,0344 1300 1402 1414,46.0,M,H,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,998.0,,,9500    REVERIE                      RD,,"(34.2424, -118.293)"
121218786,2012-08-02,2011-01-01,1,12,77th Street,1207,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060,1251 1259 0527,16.0,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812.0,,,,900 W  47TH                         ST,,"(34.0006, -118.289)"
150127761,2015-12-17,2015-12-17,15,1,Central,164,350,"THEFT, PERSON",0344,26.0,M,W,210.0,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,350.0,,,,100 E  7TH                          ST,,"(34.0446, -118.2507)"
100510971,2010-05-13,2010-05-13,2030,5,Harbor,555,354,THEFT OF IDENTITY,1822,48.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,600 W  SEPULVEDA                    ST,,"(33.7451, -118.2901)"
172010689,2017-05-13,2017-05-12,1900,20,Olympic,2023,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1609 1307,30.0,F,K,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,400 S  KINGSLEY                     DR,,"(34.0672, -118.3029)"
160911772,2016-06-03,2015-02-01,1200,9,Van Nuys,989,354,THEFT OF IDENTITY,0100 1822,30.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,4400    MAMMOTH                      AV,,"(34.1504, -118.4326)"
110516482,2011-08-30,2011-08-19,1800,5,Harbor,587,310,BURGLARY,0344 1602,50.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,600 W  31ST                         ST,,"(33.7161, -118.2909)"
141000969,2014-10-10,2014-10-10,2000,10,West Valley,1031,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1814 1402,40.0,M,W,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,IC,Invest Cont,930.0,998.0,,,6500    BELMAR                       AV,,"(34.1882, -118.5584)"
101519702,2010-09-18,2010-09-17,2359,15,N Hollywood,1516,510,VEHICLE - STOLEN,,,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,11600    VANOWEN                      ST,,"(34.194, -118.3845)"
